ANNO;RENDIMENTO
2021;0.2864
2021;0.2398
2021;0.0297
2021;-0.0243
2021;0.2193
2021;0.2237
2021;-0.0319
2021;0.3159
2021;0.3832
2021;-0.016
2021;0.2393
2021;0.382
2021;0.2702
2021;0.3106
2021;0.2487
2021;0.2273
2022;-0.1953
2022;-0.1115
2022;-0.0823
2022;-0.061
2022;-0.1855
2022;-0.0766
2022;-0.2811
2022;-0.1165
2022;0.0462
2022;-0.1455
2022;-0.0662
2022;-0.1246
2022;0.0151
2022;-0.208
2022;-0.1288
2022;-0.1268
2022;-0.0187
2022;-0.1824
2022;-0.1835
2022;-0.2597
2022;-0.2814
2022;-0.0345
2022;-0.0747
2022;-0.326
2022;-0.0066
2022;-0.152
2022;-0.1608
2022;-0.1739
2022;-0.284
2022;-0.1817
2022;-0.0904
2022;-0.0972
2022;-0.0948
2022;-0.1802
2022;-0.1823
2022;-0.1508
2022;-0.0691
2022;-0.1285
2022;-0.1804
2022;-0.0904
2022;-0.1296
2022;-0.152
2022;-0.2178
2022;-0.1059
2022;-0.1203
2023;0.2695
2023;0.1208
2023;0.0619
2023;0.0626
2023;0.0706
2023;0.3051
2023;0.495
2023;0.1606
2023;0.078
2023;0.22
2023;0.1223
2023;0.0479
2023;0.2697
2023;0.1641
2023;0.1954
2023;0.0378
2023;0.0619
2023;0.2606
2023;0.2592
2023;0.135
2023;0.4953
2023;0.1519
2023;0.2059
2023;0.1531
2023;0.1996
2023;0.0561
2023;0.0394
2023;0.0915
2023;0.5902
2023;0.2618
2023;0.2279
2023;0.1133
2023;0.045
2023;0.2396
2023;0.2396
2023;0.0372
2023;0.1989
2023;0.2188
2023;0.0926
2023;0.2274
2023;0.2184
2023;0.1717
2023;0.1412
2023;0.1592
2023;0.1929
